Account_name,Score,Title,Location,Date,Product,Purchase_Status,Review_content,Like
Cherish Vuyovich,5.0 out of 5 stars,I don't get these bad reviews,the United States,21-Apr-20,CrossWave,Verified Purchase,"I am in the process of purchasing this for our business, as I've owned a Bissell Crosswave for almost 2 years. And honestly, I have to put to rest some of these issues people are complaining about. I LOVE my Crosswave. I have a house that is nothing but tile, 2800 sq ft, and let me tell you, I couldn't live without it. I have noticed a couple of things that would produce some of the issues people complain about, but its not the fault of the crosswave.The streaky floor thing, people, if you're getting streaky floors...you're floor is super dirty. Yes. It is. Stop blaming the mop. If you swiffer...then yuck. All you're doing with a swiffer is pushing dirt around and letting it harden on your floor. So nasty.  You need to clean your floors, rinse the brush, and clean your floor again if you are one of the people getting streaks when you clean. Yes. I have only had this on a few occasions where a I had to clean a mess up. Usually powdery messes will cause this. And I did have streaky floors. But I went over it a couple of times and it finally all came up. If you have severely dirty floors, a dusty house, a lot of dirt, etc...yes...it's going to take a quite a few cleanings to pull up the mess that has solidified itself to your floor. Duh. I have 3 dogs and 2 cats, 4 children and plants galore. Guess what? No streaky floors. I also clean my brushes regularly and after every session, I clean and rinse out the entire base which only takes a couple of minutes. The cleaning solution that you buy for it has worked really well, and also does a good job on a few of the rugs I have. When I first bought this, the water that I would dump from the bin was black...pure black. Now it's a nice light gray. And it has stayed that way. Honestly, I don't have any issues with this mop. If I had to be picky, I wish the dirty water tank held more...but then my whole house is tile so I understand that not everyone has the same situation.Bottom line is, there is not a single product out there that doesn't have bad reviews. I've read most of these and really believe it is lack of knowledge. Whether its the condition of the home contributing to the results or even not knowing that each item does need to be securely placed in the mop, and cleaned after every session. I've bought one of these for my mom and sister, and both have fallen in love with the Crosswave. I also make sure to replace the filter every few months and have bought extra roller brushes so that when I've used one, I can throw it in the washing machine (cold, no bleach, no fabric softner, and air dry). So, I just really believe that if you take care of it, it will continue to produce great results. If you like mopping and only have a small area to clean, then this may not be for you. I can see where this would be a bit pricey for those in that category. But if you have pets, kids and do enough mopping that you dislike doing it, then I seriously encourage you to try this one out. Life changing!","2,372"
Deb Riester,1.0 out of 5 stars,FATAL design flaw.,the United States,5-Nov-17,CrossWave,Verified Purchase,"Excellent idea. Worked fantastic on my polished floors. Built well. Well engineered. Was very happy for two months (about 15 hours of use over 60 days.)Has a FATAL flaw. The ball bearings on the impeller side of the motor are very susceptible to moisture damage. These bearings are not accessible for service or replacement (not an environmentally friendly situation) resulting in a hardly broken in $275.00 machine that will be headed to the junk yard. Yes I could have sent it back under warranty but here is the deal:I am a professional repairman by trade. The motor assembly is now junk because it can not be repaired (by design) , even by a professional. The complex and powerful motor unit is made of a very easy to break plastic that appears similar to Bakelite a thermo-setting phenol formaldehyde resin, formed from a condensation reaction of phenol with formaldehyde,"" if it is Bakelite -again not environmentally friendly.""After  finding the problem with my unit I quickly retracted my kudos to my friends and family about the unit. I am left with a pile of useless parts and not determined to repair this unit because the first bearing was destroyed with moisture in only 60 days.Wish the motor design were better. Could have lasted years in my opinion because it is well built. My suggestion - don't buy.I would be surprised if the repair / return center isn't full of these machines needing of motors.If Bissell reads this, feel free to contact me for details. Unless I hear of a product improvement involving the heart of this machine I will not buy another unit and will continue to warn friends not to waste money.","6,346"
Jackie,1.0 out of 5 stars,Leaves dirty streaks,the United States,23-Dec-17,CrossWave,Verified Purchase,"I saved up money and was super excited to order the crosswave. I have three pets and the thought of not having to sweep up before vacuuming was a dream to me! After having this product for a couple weeks now I can say the only thing positive about it is that it does do a good job vacuuming. Other than that it's all downhill. It really doesn't get a deep clean like I've seen on other steamers. It leaves dirty streaks all over even after going over the spot several times. If you have any kind of ledge say from kitchen to living room, it does a horrible job picking up dirt around it. Stuck on dirt? Expect to stand there for at least a minute putting some serious elbow grease into getting it out. When you're done expect another 10 minutes at least taking apart and cleaning the machine after each use. Hair gets all up in there and not just in the tank. I have to go over it with Clorox wipes to get all the hair out. I feel extremely let down, especially with the high cost of this. See photos for streaks and dirt it was unable to pick up near a small ledge","1,110"
Mary,1.0 out of 5 stars,It leaves streaks and doesn’t seem like the scrub brush part even works,the United States,16-Feb-18,CrossWave,Verified Purchase,Wish i wouldn’t of purchased this floor cleaner. I have concrete heated floors and i needed something to help with every day cleaning. It leaves streaks and doesn’t seem like the scrub brush part even works. It’s just easier for me to get on my hands and knees with a rag and bucket. Such a disappointment.,604
Nicole Becerra,5.0 out of 5 stars,Review and tips included,the United States,7-May-17,CrossWave,Verified Purchase,Okay so I waited a couple of months to try this and then do a review I have to say this machine is awesome! I live in a fully tiled house in the desert with 6 big dogs. I clean about 2x a week and I've used this on carpet in our house too. The only problem I have is the solution you can buy from bissell I go through fast so I decided to try the Mr. Clean concentrated and all I do is two drops into the whole bottle of water. For the filter after I clean the house I rinse off the debris and soak it in water with dawn dish soap overnight then rinse and let air dry and no more smell to it and it looks brand new.,"2,619"
sjws,1.0 out of 5 stars,I loved the CrossWave and used it quite a bit for ...,the United States,11-Dec-17,CrossWave,Verified Purchase,"I loved the CrossWave and used it quite a bit for quick cleanups between deep cleanings.  It was easy and convenient to use and cleaned well.  Now, 6 months after I purchased it, it is not spraying cleaning solution onto the floor.  I followed all of the troubleshooting directions that Bissell provided and it is still not working.  It's not worth the hassle of packing it up and sending it back.  I considered this to be a long-term investment but am disappointed.  Buyer beware.",767
Brian,1.0 out of 5 stars,"Dirt collects on the bottom as you clean. Once you use cleaner it turns to mud, and leaves muddy water streaks on the floor.",the United States,30-Jan-18,CrossWave,Verified Purchase,"We have a new home w hard-wood floors and rugs.  Thought we could clean them both with this.  The problem is, as you clean the bottom collects dirt off the floor due to the static charges in the low-humidity environment here in Colorado.  Once you spray the cleaner the dirt gets wet and turns into mud on the bottom side of the unit.  As you clean, the mud is wiped back onto the floor.  This leaves streaks of muddy water that we had to wipe up by hand on our hands and knees. Sold it on Craigs list.  Very disappointing!",470
Kindle Customer,1.0 out of 5 stars,Not impressed with this item at all!! Really ...,the United States,17-Dec-17,CrossWave,Verified Purchase,Not impressed with this item at all!! Really did not clean as well as I expected. Went back to my swiffer jet.,300
Laurie J. Mattson,4.0 out of 5 stars,"Overall, very good. Tips for those with animals that don't want to pay for the Pet Pro model:",the United States,28-Nov-18,CrossWave,Verified Purchase,"I have two cats (one long haired) and one XL dog (VERY long hair) so I have to deal with A LOT of shedding. And, I'm honestly not the best at keeping up with vacuuming and *certainly* not the best with keeping up with mopping. I'm always looking for ways to make the process of keeping my floors clean easier and more streamlined.So, I did a bit of research to decide if I should buy this model or the Pet Pro model, which is almost $150 more than this one. There is a youtube video out there that explains the differences better than I can, but basically they have the same motor and power capabilities. The key differences are the following: the brush roll and the strainer, which separates the liquids from solids (like pet hair) in the waste tank.  -The strainer is ONLY included in the Pet Pro.  -The brush rolls are different between the two models. The Pet Pro brush roll is designed to deal with excess  amounts of pet hair and this model's is notOther than that, it seems like they're the same.I also found out before purchasing this model that you can change out the brush on this model and buy the one separately that's made for the Pet Pro. So, I bought this brush roll: https://www.amazon.com/gp/product/B07B3CDZGB/ref=oh_aui_detailpage_o02_s00?ie=UTF8&psc=1First, I tested out the regular brush roll on a rug and a small area of hardwood in my living room. I was impressed by how much it picked up on the first run, especially because I did not vacuum anything beforehand, and my rug was looking like it could double as another pet with all the pet hair all over it.BUT. When I checked the tank and the brush roll, I was not impressed. The standard brush roll was covered/tangled in hair. The waste tank was full of hair and it had clogged up. Easy to clean (relatively), but after only using it for less than one minute, I wasn't impressed.I then switched to the pet pro brush roll, which was a perfect fit. While I had already cleaned the rug, which I'm sure had the most hair, with the standard brush, I did go over the rest of my apartment. I saw very little, if any, tangled hair around this brush, where the previous one was completely covered. The tank also did not get clogged up.As for the sifter...I don't personally think it's needed, especially for such a huge price difference. There is a section attached to the top of the tank you can easily use to strain the waste on your own. I strained the liquids into the toilet until very little liquid was left, then dumped the rest (mostly hair) into the trash.I will say that another con is that it goes through quite a bit of cleaning solution, very quickly. You fill most of the tank with water, but also need to add solution as well. I was down to half a tank cleaning my small apartment. I haven't done specific research on other cleaning solutions to purchase, but I know that, while Bissell says otherwise, most buyers have been buying and successfully using better and cheaper solutions with both models.Not a deal breaker for me, but I also noticed that wet pet hair clumps on the ground occasionally, and I did need to go back over at the end to pick them up. Also, it does leak a bit when in the upright position, as to be expected.SO in conclusion: If you have pets and deal with a lot of pet hair, I would recommend purchasing this model (saving money), but buying the Pet Pro brush to replace the standard one that comes with this one. If I had not done this, I would have given it a much lower rating. If you don't have pets, this model would work fine for you regardless of the brush.",137
Kathleen,5.0 out of 5 stars,"Love It, but I’m disgusted that my supposedly clean floors were so filthy…",the United States,23-Mar-17,CrossWave,Verified Purchase,"My Crosswave just arrived today and I was on my way out but decided to stay home as I was excited to try it out. We have a large area consisting mostly of wood but have some tile and marble areas. What a breeze it was not having to use different cleaning products and mops and I could just go right through the house on different surfaces without even vacuuming.I’ve used Bona on my hardwood for years and although it looked pretty good I know it wasn’t clean. The bottoms of my feet attested to that. I’ve also used a Hoover Floormate about once a month and although it did clean the floor more than just spraying and spreading Bona around weekly, it just seemed to put too much water out on the hardwood.I LOVE the results I got today. You can see the water does go on the floor, but it’s suctioned up well and dries so quickly. I even used it on the Marble and it looks fantastic. No streaks with the Multi surface cleaner and it feels clean. My ceramic floors in the Bathrooms are very textured and pitted and they look so much cleaner. I even tried it on a couple of area carpets and it worked great. (Not for deep cleaning though)Now the disgusting part – The dirty water reservoir! It’s hard to believe there was so much dirt on my floors. Yikes! The unit is also very easy to use, gets close to baseboards, swivels to get under things and is light. Wish the cord was positioned better but that’s easily remedied by attaching it to the holder. I’m hoping this is going to be the answer to a clean house and feet! Haha. So far I’m super impressed!","1,177"
