Account_name,Score,Title,Location,Date,Product,Purchase_Status,Review_content,Like
Edward L. Harwell,5.0 out of 5 stars,Best machine I have used.,the United States,14-Jul-20,Color: Ifloor3,Verified Purchase,"I used my first vac 6 times before it started shutting off after 3 sec.  I notified Tineco because I was one week out of Amazon send back. I have used hoover floor jet, Koplens and Bissil wet dry vacs. No experience with Bissil crossfire.I was impressed with being able to contact customer service by phone with no wait time. They requested a video of the problem which is reasonable but for me hard as I am 84 y/o and not technically proficient. Customer service answered my 4 phone calls promptly and sent me a new vac promptly. The machine is fault free in use. I have porceline tile. In short I give 5 stars to machine and customer service.  I hope this keeps up. I will update after more use.UPDATE: I have never written an update on anything but due to the product quality and the customer service  I feel the need. No product lasts forever but it was nice to talk to humans and send your vac back and get a new one postage free. My replacement $300 Tineco 3 is working great after about a month. Wish I could put this under 1 star so peeople will read it. I mostly read only the bad reviews as god ones are often too numerous.",951
JPG,4.0 out of 5 stars,Addictive... should. be 5 stars but.,the United States,9-Oct-20,Color: Floor One S3,Verified Purchase,"After using the Tineco Floor One S3 for several months, you don't want to use anything else. Not even the vacuum. It is addictive once you get used to it. It has it's learning curve, but once you understand all its functions you will not, and let me repeat that... You will not want to use a mop ever again. If you think your floors are kept clean, wait until you use this machine.Pros: There are so many... I will be really brief.It does everything as advertisedSimple to clean and maintainNo messComes with 2 rollers and 2 filters.Great customer serviceWell thought.Although, it is a great machine, it has very few drawbacks. Remember, it is addictive?Well...Cons:The battery. Since it is lightweight the battery is the heaviest part of it, there for its autonomy.Depending on how dirty or clean are your floors and how big your house is perfect for 550 sq ft at onceIt takes at least 1.5h — 2 hours to charge before you can use it again. Big house, long wait.The auto-cleaning process consumes a lot of battery and it is heavily recommended you clean it immediately or it will start to smell.In my opinion, it'll be perfect if, the charge time was faster and/or you could exchange the battery for continuing use.",450
Martina,5.0 out of 5 stars,A time and life saver,the United States,12-Jul-20,Color: Ifloor3,Verified Purchase,"This is a must have for anyone with hardwood or vinyl flooring. Our household includes both a toddler (who is just beginning to learn how to fling food on the floor) and a hyperactive dog. We have a cordless dry vacuum that we would often use, but it just wasn't enough and would still require mopping afterwards. Because of this, we were spending a ridiculous amount of time cleaning just to try to keep up with all of the various food, vomit, and other messy substances around the house.This Tineco is a gamechanger for us because we no longer have to compromise between time and cleanliness. The battery lasts long enough for us to do the major problem areas (kitchen, dining room, living room) on a single charge. Even when the floor looks ""clean"" to the naked eye, the Tineco's dirty water tank tells a different story and you will be cleaning grime you had no idea existed (especially if you have an older hardwood floor with gaps between the boards). The unit has a self cleaning feature when it's on the charger, but you will still want to remove the roller every once in a while to clean by hand and fully dry. I would easily recommend this to anyone who has more than one or two rooms in their house with hard flooring, as I know it will help them as much as it has helped us.",451
Our Best Friends Rescue Inc.,5.0 out of 5 stars,WOW! Blows the Bissell Crosswave Away,the United States,25-Sep-20,Color: Ifloor3,Verified Purchase,"I was hesitant to order this machine as I was unfamiliar with the brand. I read a few reviews that there were some problems with it ceasing to operate. I've gone through 2 Bissell Crosswaves in under 2 years and really needed to get a machine that worked without all the issues the crosswave had.I took the plunge, but did purchase the extended warranty just in case I do have issues with it.Shipping was a bit slow so the mop and bucket were out as well as the scrub brush which I needed with the crosswave anyway. It never was good removing anything that had dried.When my Tineco arrived I was hoping for at least the performance I had with the crosswave. I took it out of the box and inserted the handle which was a breeze, removed all the packing, it was definitely packed 1000 times better than the crosswave, plugged in the charger and set the machine into it.I let it charge overnight and tried it out the next morning. Holy Wow!!!!! Was I surprised! The suction on this machine was incredible. It's got adjustable suction power which really helps getting the dog hair up, the other machine was not the best with that. It did not stop and say the machine was clogged once! The other machine did it constantly. Dried on stuff came up like a dream. Dog hair was nonexistent! What a pleasure it is not have to sweep and then use the machine and then sweep again.When I turned off the machine there was no puddle of dirty water left on the floor as was the case with the crosswave, that would need a few paper towels to sop up.The tanks are a bit smaller than on the crosswave, but it makes the machine so much lighter that it's okay with me.Cleaning the machine is also easier than the crosswave. I don't have to stick my hand in the dirty water tank to remove the hair catch, that was really kind of a disgusting thing to have to do on a machine that costs that much. Not a good design feature at all.Not once did the new machine clog, tell me to empty the dirty water tank unless it was full or have any other malfunctions lights go off.The cleaning solution that comes from the manufacturer is terrific. It did not need to be measured into a measuring cup like the old one. One small capful is all that was needed making the filling of the clean water tank easy peasy. My kitchen tile looks better than it has in years and my LVT in the rest of the house is cleaner than it's been since it was installed.I recommend this floor cleaner over the Bissell machine 100%. I do recommend getting the extended warranty just in case, but that's just my personal thought.",330
MBA Squared,5.0 out of 5 stars,"Cleans a variety of floors with minimal effort, great product!",the United States,24-Jul-20,Color: Floor One S3,Verified Purchase,"This is a remarkable mopper! I have used it all over my house for the past several days, can’t tell you how impressed I am! We have a lot of different hard surfaces in my home: tile wood and cork. I have included a video of his performance on each type of floor. The first thing I noticed is how easy it is to operate. I barely looked at the instructions, just plugged in the first night and started using it the next day. The only thing I checked was how to refill the water, which is super easy as it’s the container on top and I added the recommended cap full of cleaning solution.  I couldn’t help but notice how this product essentially pulls itself. You might notice in the videos I am operating it with one hand, and sometimes one finger. I also noticed I was able to use this on dirty floors without sweeping first. It collects dust and debris along with the water, you’ll see what you collect when you dump it out and you will be grossed out and impressed at the same time. In the video, I cleaned my white tile with a pattern so easily, and as you can imagine that is such a pain to keep clean. It’s beautiful but now that I have this mop or it will be as beautiful as it should be more often.  Then, you’ll see me bounce over to the cork floors, as easy as the tile was this was much easier if you can imagine. I don’t mop these floors very often, but I couldn’t help but mop the entire basement and I would say it took less than 10 minutes (2200 square feet). It’s lightweight so its easy to carry up and down the steps, I even mopped the steps and I’m not saying it was super easy but there is no good way to mop the steps and the result was better than normal. But, I’ve used it upstairs extensively. The wood floors upstairs gets so nasty, so for me, this mop was the solution for that. I can do the entire floor in about 20 minutes (4000square feet), but I rarely do that. I’m using a small primarily in the kitchen and living space, I use it daily and it takes just a couple of minutes. In one charge I get around 30 minutes, and that is  alternating between auto and Max. The more often I use it, I am able to use the auto setting more. In one use, expect to refill the water container at least twice. There is a voice alert that will let you know when you need to do that, as well as any other part of the mop that needs attention.Overall, this mop was definitely worth the investment. I wish I could say I’m going to throw out my mop but I will still need it to get into small corners, around toilets for example, but it will definitely replace my mop for almost everything. I also used to dry mop much more frequently, this is replacing some of that, especially in high traffic areas like the kitchen. It came with lots of accessories, an extra filter, an extra roller, and hardware it looks like to mount. I haven’t found a home for it yet so I will look into that later. For now, I’m just enjoying my clean floors, clean it with minimal effort and that’s how I roll!",254
Debra Hendrickson,5.0 out of 5 stars,Best floor machine I’ve ever purchased,the United States,4-May-20,Color: Ifloor3,Verified Purchase,"I was hesitant.  Every gadget holds the big promise of being the best thing ever.  I’m glad I bought the unit.  I’ve had fractured vertebrae and major back surgery.  This machine is so light and easy to use that even with a very bad back, I can use this!  It cleans my textured tile floors spotless.  The suction is unbelievable.  It’s an amazing device.  It’s efficient.  It’s quiet.  Love the self cleaning feature!  Best money I’ve spent in a long time.  It looks durable- I hope it is.  No regrets",232
Dexter1,5.0 out of 5 stars,Best purchase I’ve made in a long time!!!,the United States,7-Sep-20,Color: Floor One S3,Verified Purchase,"I have owned a Bissell Crosswave for three years.  That’s three years and three new Crosswaves.  I don’t know why their so highly rated because you have to replace them yearly after they quit working!  Looking for a different option I found this one.  A little more expensive but worth EVERY SINGLE PENNY!!!  I LOVE this thing!!! I can just grab it off the charger and get to it.  No hassling with cords, no spending time at the end cleaning every piece because it’s self cleaning!  What a great concept and it pulls a lot of dirt out of the brush roll and internal parts.  I love that it’s self propelled because I have a bad back and knees and it runs itself with me just to guide it!  It cleans much better than my old Crosswave, leaving my wood floors streak free.  My floors would look terrible after cleaning with my Crosswave.  It only takes 1 cap of solution with the water so you save on cleaning solution.  I didn’t think I really needed it to talk to me but it’s great because it reminds me to start cleaning cycle, fill water tank, empty dirty tank, etc.This machine is stellar in every way.  The only con is it has an internal battery so once the two year battery warranty has expired and the battery gives out I guess you have to replace it.  Even do its then lasted twice as long as my old Crosswave!  And maybe the battery will last 5 years- who knows?  No one has had one long enough to judge because it’s a pretty new item in their line.Don’t think twice and make your life easier!  Buy it now!  Lol I’m not getting paid to write this😊",139
Sunshine Mel,5.0 out of 5 stars,I’m excited to mop when I use this to clean my fooors,the United States,22-Jul-20,Color: Floor One S3,Verified Purchase,Wow! This floor cleaner absolutely blows my mind! It mood and vacuums and chooses on its own which to use with its own sensor. It can even tell the level of dirtiness and use the proper setting. Every time I’ve used it I am immediately start smiling and laughing because it makes it so fun! Once you turn it on you can let it propel itself forward and mop and vacuum depending on what your floor requires. Now I actually enjoy mopping. It arrived with a bottle of solution you mix with water and put in the top container for it to clean with. The bottom container has the filter and where the gray water goes that you will dump. At the end of your cycle you do need to clean everything so it will work fine next use. It even decides whether it should begin a self cleaning cycle when you put it back on the charging base. It comes with an extra filter and the cleaning brush. If you have a lot of bare floors at your house I would definitely recommend this.,206
Lee,5.0 out of 5 stars,Wonderful Labor Saving Device,the United States,29-Dec-20,Color: Floor One S3,Verified Purchase,"Y'all ready for a 5 start review?  I just used my Tineco Floor 1 cordless for the first time.  I hadn't moped since after Christmas and hadn't vacuumed since yesterday.  I am SO excited!  I'm a sucker for convenience saving cleaning devices and technology.  You name it and when I could afford it within reason, I get it.  I have an old Eufy vacuum, named Rosy, a Shark vacuum with the 30 day reservoir - Jaws, a battery operated scrub brush.  I've an old Floor Mate, 2 regular size carpet cleaners - different brands in my hall closet.  Plus a Dyson stick cordless - Suckered.  I had been seeing a competitor's version on TV and was really interested in it.  Did my research and decided on ""Tina"" instead.  I took her out of the box just over an hour ago.  Simple to put together.  Did I mention I don't read instructions?  Put her on her charger but couldn't wait for a full charge.  Mopped my kitchen - waterproof Pergo- and the living room, 2 small halls with adjoining small bathrooms - tile - on less than a 75% charge.  Maneuvers like a dream.  A little difficult going around the toilets, not hey.  Cleaned very well, even cleaned up washable creation and pencil marks from grand children and spill splashes from Christmas that got missed.  The auction was great, even got a small bug (don't judge, the doors were opened a lot).  I was amazed at how dirty the reservoir water was.  Tina let me know when to empty and when to refill.  She warned me when the battery was starting to get to low and took me through the steps for the self cleaning.  The hardest part I have is replacing the clean water reservoir.  Again I don't read instructions.  Sorry this review is so long but at the moment, I'm in love.  If anything changes, I'll update my review.",104
T. Lewis,5.0 out of 5 stars,Love it!,the United States,25-Sep-20,Color: Floor One S3,Verified Purchase,"So, I have a very old dog who has been having problems these days. I was using a traditional mop multiple times a day to clean up after her. Having to prepare mop water every time there was a mess (starting before my coffee!) got to be a tiresome.I initially bought the Tineco iFLOOR Cordless Wet Dry Vacuum Cleaner and Mop, which worked OK for my needs, but then my hubby suggested I the higher end one, TINECO Floor One S3 Cordless Hardwood Floors Cleaner, I was glad I did.TINECO Floor One S3 is a little heavier than the Tineco iFLOOR, but that is OK since it is self propelled once it is powered up. I love that once you put it on the charging mat, it starts a check of the roller to see if it needs to be cleaned. Press a button and self-cleaning starts! Basically, I love this mop! It has saved me a lot of effort when I have to quickly clean up a spot.Cons: Well, there are a few.- Corners. I have found you have to be able to roll over the mess. So, I can't give up my traditional mop altogether, but this works in a pinch.- Modes: it has two - Auto and Max Clean. Wish there were three. Auto, Max Clean and Suction. Wish there was a way to suck up the puddle then mop over it.-Clean Water Tank (CWT) and Dirty Water Tank (DWT). Wish they were bigger. But not a game changer.If you are like me, you research (a lot) before spending hard earned $. Glad I did. This mop is worth every penny.",112
